Dataset,Batch size,Nodes,Iterations,1st HL,2nd HL,3rd HL,4th HL,5th HL,6th HL,Optimizer,Acc(500),Acc(1000),Acc(1500),Acc(2000),Acc(2500),Acc(3000),Acc(3500 ),Acc(4000),Acc(4500),Acc(5000),Acc(5500),Acc(6000),Acc(6500),Acc(7000),Acc(7500),Acc(8000),Acc(8500),Acc(9000),Acc(9500),Acc(10000),Acc(10500),Acc(11000),Acc(11500),Acc(12000),Acc(12500),Acc(13000),Acc(13500),Acc(14000),Acc(14500),Acc(15000),Acc(15500),Acc(16000),Acc(16500),Acc(17000),Acc(17500),Acc(18000),Acc(18500),Acc(19000),Acc(19500),Acc(20000),Loss
Dataset 2,30,500,20000,ReLU,ELU,ReLU,ELU,ReLU,ELU,SGD,49.17,57.75,70.79,68.42,75.15,76.99,79.0,79.42,81.9,83.18,84.33,84.34,85.08,83.43,84.54,85.93,83.99,86.33,84.45,86.15,85.79,86.38,87.74,86.15,87.18,86.34,87.81,87.11,87.28,87.93,87.36,87.35,87.55,88.49,87.85,87.26,87.84,87.75,87.92,87.9,0.2005
Dataset A,30,400,20000,ReLU,ELU,ReLU,ELU,ReLU,ELU,SGD,13.8544,10.9363,19.1322,11.2154,19.0053,12.7379,23.3443,30.2461,31.794,41.5631,29.0789,27.9371,41.8675,32.8597,54.7069,61.2027,52.0426,54.5547,59.528,45.7752,54.0472,47.5514,61.152,44.4557,65.6432,64.9074,68.1807,59.8579,71.6569,54.2756,67.0642,58.6907,67.5463,74.3466,69.9822,74.169,79.5991,66.4806,73.6108,77.493,0.6274
Dataset 2,30,400,20000,ReLU,ELU,ReLU,ELU,ReLU,ELU,SGD,37.09,54.3,65.65,69.93,75.57,76.09,78.68,80.21,81.7,82.3,82.81,83.74,84.22,84.26,84.95,85.08,85.86,86.3,86.36,85.76,86.89,84.67,85.74,86.52,84.72,86.92,87.45,86.57,87.3,87.15,87.76,88.04,86.61,87.55,87.7,87.86,86.43,86.47,87.36,87.86,0.1888
Dataset A,20,200,20000,ELU,ELU,ELU,ELU,ELU,None,SGD,9.7183,15.4529,15.4783,12.0528,36.9957,20.4263,43.9736,40.3705,45.014,21.6443,54.4532,30.4491,55.9503,38.6958,60.8982,56.6354,51.1545,63.2834,60.6953,71.3271,42.4512,68.5867,70.3882,63.3596,71.2763,68.4344,74.4735,70.1852,72.0376,76.1482,74.8033,75.8944,81.9589,71.7331,79.4722,72.0883,68.9419,82.7709,82.8977,81.4007,0.3252
Dataset 2,20,200,20000,ELU,ELU,ELU,ELU,ELU,None,SGD,56.85,65.81,70.12,76.72,76.32,80.8,79.46,82.11,82.72,83.06,83.12,83.96,83.98,83.56,82.93,82.93,84.6,84.67,84.41,83.92,84.45,85.17,85.16,85.75,85.07,84.86,86.24,86.0,85.81,85.72,85.46,86.29,86.17,85.37,85.78,85.98,86.58,86.78,85.51,86.4,0.5304
Dataset A,20,300,20000,ELU,ELU,ELU,ELU,ELU,None,SGD,10.7841,21.5681,25.9325,16.4679,31.7178,38.8988,33.5194,41.0809,53.7173,56.7115,57.7265,59.8579,49.8097,52.8039,63.7148,62.2177,67.8762,59.8833,63.1058,46.1558,61.5834,69.3479,62.8521,41.8675,65.288,68.1299,41.1571,69.5762,78.4826,76.5288,60.1624,63.5372,76.9094,78.508,77.6453,65.4149,78.914,74.4989,83.7097,82.5933,0.3383
Dataset 2,20,300,20000,ELU,ELU,ELU,ELU,ELU,None,SGD,61.3,73.39,76.15,77.73,80.8,81.39,80.51,82.46,82.7,82.15,83.75,83.9,84.74,84.01,85.0,84.63,83.59,84.83,84.27,84.58,84.6,85.44,85.46,85.49,84.87,85.26,85.79,85.97,85.93,86.04,86.2,86.45,85.71,86.41,85.82,86.51,86.57,85.94,86.76,86.41,0.1722
Dataset A,20,200,20000,ELU,ELU,ELU,ELU,None,None,SGD,11.4945,14.8693,9.6676,30.8551,42.0959,34.8896,30.1954,53.7935,44.3035,40.3451,53.8696,58.8683,63.1819,52.0426,59.2235,60.6191,65.0596,66.5821,46.9678,64.2984,69.9315,50.9262,73.8138,67.1403,37.7315,45.2677,75.387,78.5587,75.5138,42.8064,77.2139,76.5034,65.491,80.1827,15.5291,81.5022,82.3903,78.305,82.441,76.6049,0.7282
Dataset 2,20,200,20000,ELU,ELU,ELU,ELU,None,None,SGD,68.31,74.15,77.14,79.8,80.19,81.78,82.14,83.21,82.39,81.88,83.4,84.32,84.4,84.41,84.31,84.66,85.37,84.85,85.46,85.36,85.16,85.73,85.14,85.76,85.89,86.1,85.51,86.55,85.71,86.13,85.92,86.19,86.04,86.85,85.88,86.48,86.25,86.86,87.12,86.36,0.5024
Dataset A,20,300,20000,ELU,ELU,ELU,ELU,None,None,SGD,10.5811,14.1335,25.8818,34.5851,34.103,26.3639,48.1857,30.7282,38.0614,51.2053,56.7622,47.9827,43.9736,44.5318,62.2938,52.2964,58.0817,68.2822,68.8911,70.1599,73.7376,72.6212,71.8853,67.8254,68.5867,79.7513,76.1228,75.0063,80.4872,79.0916,76.0213,77.29,81.7813,78.8125,73.6108,68.6628,70.5151,81.4768,76.8079,78.9394,0.9492
Dataset 2,20,300,20000,ELU,ELU,ELU,ELU,None,None,SGD,68.88,75.19,78.04,79.76,81.72,81.54,82.24,80.88,84.15,83.2,84.12,84.2,84.06,83.65,84.77,84.89,84.67,85.11,84.93,84.07,85.18,85.9,85.75,85.48,85.82,86.12,86.06,85.29,86.01,85.79,85.67,86.09,86.76,86.33,85.7,86.57,86.84,86.25,86.81,86.74,0.5192
Dataset A,20,300,20000,ReLU,ReLU,ReLU,ReLU,None,None,SGD,9.8706,10.3527,9.9467,27.7087,33.2657,33.8493,35.8792,30.5252,40.1675,43.0855,50.9515,33.1895,34.3314,36.5389,43.6691,51.2814,35.7523,58.8683,61.4819,63.3849,64.4253,62.8774,50.8754,64.6283,69.0688,69.9569,65.3387,68.0792,70.5405,68.9165,60.137,67.6478,67.5209,69.5762,78.6602,73.7123,75.0571,74.2197,79.6752,76.0974,0.5088
Dataset 2,20,300,20000,ReLU,ReLU,ReLU,ReLU,None,None,SGD,43.5,68.48,73.65,72.14,79.38,80.15,80.16,82.6,81.77,81.72,83.31,83.91,84.13,84.27,85.06,84.71,85.34,85.55,86.12,84.23,84.73,85.69,86.52,86.31,85.15,86.4,85.55,84.82,86.89,87.18,87.46,86.4,87.22,87.59,87.23,87.19,87.46,87.29,87.03,87.55,0.057
